ts_week,KOSPI,ln_KOSPI,D_ln_KOSPI
1984w26,130.70667,4.8729556,-0.02436165
1984w27,131.715,4.8806405,0.00768487
1984w28,132.45667,4.8862555,0.00561505
1984w29,132.636,4.8876085,0.00135299
1984w30,135.13,4.9062373,0.01862874
1984w31,135.18667,4.9066565,0.00041926
1984w32,136.45667,4.9160071,0.00935056
1984w33,135.144,4.9063409,-0.00966623
1984w34,134.36667,4.9005724,-0.0057685
1984w35,134.455,4.9012296,0.00065719
1984w36,136.46667,4.9160804,0.01485081
1984w37,135.492,4.9089126,-0.00716779
1984w38,133.95,4.8974666,-0.011446
1984w39,133.24167,4.8921645,-0.00530207
1984w40,134.0075,4.8978958,0.00573125
1984w41,133.928,4.8973023,-0.00059343
1984w42,131.95,4.8824231,-0.01487928
1984w43,130.565,4.8718712,-0.01055188
1984w44,130.15167,4.8687004,-0.00317075
1984w45,133.21667,4.8919769,0.02327644
1984w46,132.78,4.8886936,-0.00328325
1984w47,133.105,4.8911383,0.00244467
1984w48,134.78167,4.9036562,0.01251789
1984w49,137.31,4.9222411,0.01858496
1984w50,137.63333,4.9245931,0.002352
1984w51,139.86167,4.9406538,0.01606069
1984w52,142.46,4.9590613,0.01840742
1985w1,142.27667,4.9577735,-0.00128774
1985w2,141.85667,4.9548172,-0.00295636
1985w3,138.90667,4.9338022,-0.02101491
1985w4,138.91833,4.9338862,0.00008399
1985w5,138.145,4.9283039,-0.00558237
1985w6,136.70667,4.9178375,-0.01046635
1985w7,135.144,4.9063409,-0.01149663
1985w8,134.252,4.8997186,-0.00662225
1985w9,134.966,4.9050229,0.00530426
1985w10,134.21167,4.8994182,-0.00560474
1985w11,133.56333,4.8945758,-0.00484238
1985w12,134.09833,4.8985734,0.00399759
1985w13,135.38,4.9080856,0.00951228
1985w14,137.632,4.9245835,0.01649782
1985w15,136.99333,4.9199323,-0.00465119
1985w16,135.72,4.9105939,-0.00933832
1985w17,134.78167,4.9036562,-0.00693775
1985w18,133.90833,4.8971555,-0.0065007
1985w19,133.43667,4.893627,-0.00352853
1985w20,132.26,4.8847697,-0.00885728
1985w21,132.85,4.8892207,0.00445099
1985w22,133.765,4.8960845,0.00686386
1985w23,134.248,4.8996888,0.00360431
1985w24,139.2,4.9359117,0.03622291
1985w25,138.93333,4.9339942,-0.00191755
1985w26,137.53333,4.9238663,-0.01012789
1985w27,135.285,4.9073837,-0.01648265
1985w28,135.54667,4.909316,0.00193232
1985w29,135.35,4.907864,-0.00145197
1985w30,136.17833,4.9139653,0.00610129
1985w31,137.84167,4.9261057,0.01214038
1985w32,136.61667,4.917179,-0.00892673
1985w33,135.292,4.9074354,-0.00974354
1985w34,136.42167,4.9157506,0.00831517
1985w35,136.41833,4.9157261,-0.00002443
1985w36,135.30833,4.9075561,-0.00817002
1985w37,135.59,4.9096356,0.0020795
1985w38,136.57333,4.9168617,0.00722608
1985w39,137.92333,4.926698,0.00983626
1985w40,139.7925,4.9401592,0.01346121
1985w41,138.754,4.9327026,-0.0074566
1985w42,139.57333,4.9385902,0.00588757
1985w43,141.74,4.9539944,0.01540424
1985w44,141.195,4.9501419,-0.00385248
1985w45,141.835,4.9546644,0.0045225
1985w46,146.895,4.989718,0.03505364
1985w47,146.66667,4.9881624,-0.00155561
1985w48,148.8,5.0026031,0.01444068
1985w49,152.245,5.0254911,0.02288794
1985w50,158.00333,5.0626161,0.03712506
1985w51,157.51333,5.0595101,-0.00310602
1985w52,162.99,5.0936888,0.03417874
1986w1,159.38333,5.0713122,-0.02237665
1986w2,159.305,5.0708206,-0.0004916
1986w3,156.09167,5.0504434,-0.02037716
1986w4,155.45167,5.0463349,-0.00410858
1986w5,161.06167,5.0817873,0.03545246
1986w6,164.66333,5.103903,0.02211567
1986w7,167.08833,5.1185226,0.01461963
1986w8,174.52833,5.1620871,0.04356448
1986w9,177.256,5.177595,0.01550792
1986w10,186.002,5.2257574,0.04816241
1986w11,183.46167,5.2120057,-0.01375168
1986w12,188.54333,5.2393279,0.02732212
1986w13,197.31167,5.2847845,0.04545668
1986w14,204.344,5.3198048,0.03502031
1986w15,210.135,5.3477502,0.02794533
1986w16,212.21,5.3575764,0.00982617
1986w17,198.61167,5.2913515,-0.06622486
1986w18,203.848,5.3173746,0.02602312
1986w19,200.09667,5.2988006,-0.01857403
1986w20,205.15,5.3237414,0.02494084
1986w21,214.84167,5.3699013,0.0461599
1986w22,227.7,5.428029,0.05812765
1986w23,230.28,5.439296,0.01126699
1986w24,238.885,5.4759823,0.0366863
1986w25,244.285,5.4983356,0.02235331
